,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_month,journey_day,journey_dow,dep_hour,arr_hour,duration_mins,n_stops,has_meal,no_checkin,business_cls,red_eye,dep_period,is_weekend
4975,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,09:55,18:50,8h 55m,1 stop,No info,18550.0,3.0,3.0,6.0,9.0,18.0,535.0,1.0,0,0,0,0,Morning,1
4976,Vistara,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,6h 25m,1 stop,No info,8610.0,6.0,12.0,2.0,17.0,23.0,385.0,1.0,0,0,0,0,Evening,0
4977,Jet Airways,2019-05-01,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No info,7229.0,5.0,1.0,2.0,7.0,10.0,180.0,0.0,0,0,0,0,Morning,0
4978,Air India,,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 07 Jun,19h 25m,2 stops,No info,12009.0,5.0,12.0,3.0,10.0,5.0,1165.0,2.0,0,0,0,0,Morning,0
4979,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 19 May,28h 5m,1 stop,No info,14151.0,5.0,18.0,5.0,17.0,21.0,1685.0,1.0,0,0,0,0,Evening,1
4980,Air India,2019-04-09,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,4729.0,4.0,9.0,1.0,5.0,8.0,170.0,0.0,0,0,0,0,Morning,0
4981,Air India,2019-03-03,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,7931.0,3.0,3.0,6.0,5.0,8.0,170.0,0.0,0,0,0,0,Morning,1
4983,Jet Airways,2019-03-09,Delhi,Cochin,DEL → BOM → COK,06:50,04:25 10 Mar,21h 35m,1 stop,No info,16289.0,3.0,9.0,5.0,6.0,4.0,1295.0,1.0,0,0,0,0,Morning,1
4984,Jet Airways,2019-06-03,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00 04 Jun,21h 35m,2 stops,No info,13292.0,6.0,3.0,0.0,21.0,19.0,1295.0,2.0,0,0,0,0,Night,0
4986,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,18:15,01:30 16 Jun,7h 15m,1 stop,No info,13377.0,6.0,15.0,5.0,18.0,1.0,435.0,1.0,0,0,0,0,Evening,1
4987,Air Asia,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,5192.0,6.0,12.0,2.0,7.0,23.0,955.0,1.0,0,0,0,0,Morning,0
4988,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7h 35m,1 stop,In-flight meal not included,7268.0,6.0,24.0,0.0,11.0,19.0,455.0,1.0,1,0,0,0,Morning,0
4989,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,,13h 20m,1 stop,In-flight meal not included,12384.0,5.0,24.0,4.0,20.0,13.0,800.0,1.0,1,0,0,0,Evening,0
4992,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 07 Jun,12h 30m,1 stop,No info,7198.0,6.0,6.0,3.0,13.0,1.0,750.0,1.0,0,0,0,0,Afternoon,0
4994,Jet Airways,2019-06-03,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210.0,6.0,3.0,0.0,19.0,21.0,90.0,0.0,1,0,0,0,Evening,0
4995,SpiceJet,2019-06-18,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873.0,6.0,18.0,1.0,6.0,9.0,155.0,0.0,0,0,0,0,Morning,0
4996,Air Asia,2019-04-21,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,4483.0,4.0,21.0,6.0,11.0,13.0,165.0,0.0,0,0,0,0,Morning,1
4997,Air Asia,2019-05-15,Delhi,Cochin,DEL → BLR → COK,16:45,22:25,5h 40m,1 stop,No info,6752.0,5.0,15.0,2.0,16.0,22.0,340.0,1.0,0,0,0,0,Afternoon,0
4998,IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823.0,4.0,12.0,4.0,7.0,10.0,175.0,0.0,0,0,0,0,Morning,0
4999,Air India,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,20:30,08:55 07 May,12h 25m,1 stop,No info,10203.0,5.0,6.0,0.0,20.0,8.0,745.0,1.0,0,0,0,0,Evening,0
5000,SpiceJet,2019-05-18,Kolkata,Banglore,CCU → BLR,22:20,00:40 19 May,2h 20m,non-stop,No info,3873.0,5.0,18.0,5.0,22.0,0.0,140.0,0.0,0,0,0,0,Night,1
5001,SpiceJet,2019-03-27,Mumbai,Hyderabad,BOM → HYD,13:10,14:30,1h 20m,non-stop,No info,2017.0,3.0,27.0,2.0,13.0,14.0,80.0,0.0,0,0,0,0,Afternoon,0
5002,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:40 07 Jun,20h 15m,1 stop,In-flight meal not included,8586.0,6.0,6.0,3.0,8.0,4.0,1215.0,1.0,1,0,0,0,Morning,0
5003,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,22:50,10:25 02 Mar,11h 35m,1 stop,1 Long layover,31825.0,3.0,1.0,4.0,22.0,10.0,695.0,1.0,0,0,0,0,Night,0
5004,Air India,2019-05-15,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 16 May,27h 45m,2 stops,No info,16057.0,5.0,15.0,2.0,10.0,13.0,1665.0,2.0,0,0,0,0,Morning,0
5005,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Jun,26h 10m,1 stop,In-flight meal not included,10262.0,6.0,6.0,3.0,2.0,4.0,1570.0,1.0,1,0,0,0,Night,0
5008,Jet Airways,2019-03-09,Delhi,Cochin,DEL → BOM → COK,19:15,18:50 10 Mar,23h 35m,1 stop,No info,16289.0,3.0,9.0,5.0,19.0,18.0,1415.0,1.0,0,0,0,0,Evening,1
5009,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 02 May,24h 10m,1 stop,In-flight meal not included,9314.0,5.0,1.0,2.0,9.0,9.0,1450.0,1.0,1,0,0,0,Morning,0
5010,Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,,4030.0,5.0,21.0,1.0,17.0,20.0,180.0,0.0,0,0,0,0,Evening,0
5011,Multiple carriers,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13587.0,6.0,12.0,2.0,14.0,21.0,420.0,1.0,0,0,0,0,Afternoon,0
5012,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00 02 May,21h 35m,1 stop,In-flight meal not included,9314.0,5.0,1.0,2.0,20.0,18.0,1295.0,1.0,1,0,0,0,Evening,0
5013,Air Asia,2019-06-15,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 16 Jun,10h 25m,1 stop,No info,6253.0,6.0,15.0,5.0,20.0,7.0,625.0,1.0,0,0,0,0,Evening,1
5014,Air Asia,2019-04-15,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,5192.0,4.0,15.0,0.0,7.0,23.0,955.0,1.0,0,0,0,0,Morning,0
5015,Air India,2019-05-01,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 02 May,28h 20m,2 stops,No info,16372.0,5.0,1.0,2.0,9.0,13.0,1700.0,2.0,0,0,0,0,Morning,0
5017,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,No info,11200.0,3.0,27.0,2.0,11.0,18.0,440.0,1.0,0,0,0,0,Morning,0
5018,IndiGo,2019-06-12,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858.0,6.0,12.0,2.0,11.0,14.0,145.0,0.0,0,0,0,0,Morning,0
5019,IndiGo,2019-04-06,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4174.0,4.0,6.0,5.0,15.0,18.0,155.0,0.0,0,0,0,0,Afternoon,1
5020,Air India,2019-04-27,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,5411.0,4.0,27.0,5.0,18.0,21.0,185.0,0.0,0,0,0,0,Evening,1
5021,IndiGo,,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175.0,5.0,12.0,3.0,16.0,18.0,90.0,0.0,0,0,0,0,Afternoon,0
5023,Jet Airways,,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 02 May,8h 40m,1 stop,No info,13941.0,5.0,12.0,3.0,20.0,4.0,520.0,1.0,0,0,0,0,Evening,0
5024,Air India,2019-06-15,Delhi,Cochin,DEL → HYD → BOM → COK,13:15,19:15 16 Jun,30h,2 stops,No info,12182.0,6.0,15.0,5.0,13.0,19.0,1800.0,2.0,0,0,0,0,Afternoon,1
5025,IndiGo,2019-06-21,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4990.0,6.0,21.0,4.0,16.0,19.0,180.0,0.0,0,0,0,0,Afternoon,0
5026,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 10 Jun,25h 40m,1 stop,In-flight meal not included,10539.0,6.0,9.0,6.0,20.0,22.0,1540.0,1.0,1,0,0,0,Evening,1
5028,Vistara,2019-03-06,Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,8001.0,3.0,6.0,2.0,14.0,17.0,175.0,0.0,0,0,0,0,Afternoon,0
5029,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 28 Jun,20h 10m,1 stop,In-flight meal not included,10262.0,6.0,27.0,3.0,22.0,19.0,1210.0,1.0,1,0,0,0,Night,0
5032,Air India,2019-05-01,Kolkata,Banglore,,10:00,13:45 02 May,27h 45m,2 stops,No info,15164.0,5.0,1.0,2.0,10.0,13.0,1665.0,2.0,0,0,0,0,Morning,0
5033,IndiGo,2019-03-24,Kolkata,Banglore,CCU → BLR,17:15,20:00,2h 45m,non-stop,No info,6565.0,3.0,24.0,6.0,17.0,20.0,165.0,0.0,0,0,0,0,Evening,1
5034,Jet Airways,2019-03-27,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,18:50,13h 25m,2 stops,In-flight meal not included,9254.0,3.0,27.0,2.0,5.0,18.0,805.0,2.0,1,0,0,0,Morning,0
5035,Air Asia,2019-06-06,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,3h 40m,1 stop,,6857.0,6.0,6.0,3.0,6.0,10.0,220.0,1.0,0,0,0,0,Morning,0
5036,Air India,2019-05-12,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,01:20 13 May,18h 20m,2 stops,No info,12140.0,5.0,12.0,6.0,7.0,1.0,1100.0,2.0,0,0,0,0,Morning,1
5038,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,No info,14781.0,5.0,6.0,0.0,8.0,19.0,685.0,1.0,0,0,0,0,Morning,0
5039,Air India,2019-05-18,Delhi,Cochin,,10:00,07:40 19 May,21h 40m,1 stop,No info,8372.0,5.0,18.0,5.0,10.0,7.0,1300.0,1.0,0,0,0,0,Morning,1
5041,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,13587.0,6.0,24.0,0.0,10.0,21.0,660.0,1.0,0,0,0,0,Morning,0
5042,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 19 May,7h 30m,1 stop,No info,15554.0,5.0,18.0,5.0,20.0,4.0,450.0,1.0,0,0,0,0,Evening,1
5043,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,21:10,19:50 22 May,22h 40m,1 stop,In-flight meal not included,10844.0,5.0,21.0,1.0,21.0,19.0,1360.0,1.0,1,0,0,0,Night,0
5044,IndiGo,2019-05-24,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,4392.0,5.0,24.0,4.0,12.0,13.0,90.0,0.0,0,0,0,0,Afternoon,0
5045,Air India,2019-05-27,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,6961.0,5.0,27.0,0.0,17.0,19.0,165.0,0.0,0,0,0,0,Evening,0
5046,Air India,2019-05-18,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907.0,5.0,18.0,5.0,9.0,23.0,795.0,1.0,0,0,0,0,Morning,1
5047,IndiGo,2019-06-15,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442.0,6.0,15.0,5.0,8.0,22.0,835.0,1.0,0,0,0,0,Morning,1
5048,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,8586.0,5.0,15.0,2.0,14.0,23.0,570.0,1.0,1,0,0,0,Afternoon,0
5049,Air India,2019-05-15,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 16 May,30h 20m,2 stops,No info,13486.0,5.0,15.0,2.0,12.0,19.0,1820.0,2.0,0,0,0,0,Afternoon,0
5050,Air India,2019-06-06,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,,3100.0,6.0,6.0,3.0,19.0,20.0,75.0,0.0,0,0,0,0,Evening,0
5052,Air India,2019-04-24,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,5201.0,4.0,24.0,2.0,18.0,21.0,185.0,0.0,0,0,0,0,Evening,0
5053,IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → MAA → COK,07:35,21:20,13h 45m,2 stops,No info,9413.0,3.0,3.0,6.0,7.0,21.0,825.0,2.0,0,0,0,0,Morning,1
5055,Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678.0,6.0,1.0,5.0,2.0,4.0,85.0,0.0,0,0,0,0,Night,1
5056,Air India,2019-03-03,Banglore,New Delhi,BLR → HYD → DEL,08:15,23:10,14h 55m,1 stop,No info,6781.0,3.0,3.0,6.0,8.0,23.0,895.0,1.0,0,0,0,0,Morning,1
5057,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,18:40,11:25 19 Mar,16h 45m,1 stop,In-flight meal not included,7832.0,3.0,21.0,3.0,18.0,11.0,1005.0,1.0,1,0,0,0,Evening,0
5058,Jet Airways,2019-03-09,Delhi,Cochin,DEL → BOM → COK,16:00,18:50 10 Mar,26h 50m,1 stop,In-flight meal not included,14053.0,3.0,9.0,5.0,16.0,18.0,1610.0,1.0,1,0,0,0,Afternoon,1
5061,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7408.0,6.0,24.0,0.0,13.0,21.0,480.0,1.0,0,0,0,0,Afternoon,0
5062,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 02 Mar,21h 20m,1 stop,No info,20800.0,3.0,1.0,4.0,14.0,11.0,1280.0,1.0,0,0,0,0,Afternoon,0
5063,Air India,2019-06-03,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,07:40 04 Jun,18h 20m,2 stops,No info,11911.0,6.0,3.0,0.0,13.0,7.0,1100.0,2.0,0,0,0,0,Afternoon,0
5064,Vistara,,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,5403.0,5.0,12.0,3.0,7.0,9.0,160.0,0.0,0,0,0,0,Morning,0
5065,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,13469.0,6.0,6.0,3.0,9.0,19.0,575.0,1.0,1,0,0,0,Morning,0
5066,Jet Airways,2019-06-06,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 07 Jun,15h 10m,2 stops,In-flight meal not included,11270.0,6.0,6.0,3.0,21.0,12.0,910.0,2.0,1,0,0,0,Night,0
5067,Air Asia,2019-06-24,Delhi,Cochin,DEL → BLR → COK,20:45,06:35 25 Jun,9h 50m,1 stop,No info,6152.0,6.0,24.0,0.0,20.0,6.0,590.0,1.0,0,0,0,0,Evening,0
5068,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 28 Mar,20h 25m,1 stop,No info,12452.0,3.0,27.0,2.0,8.0,4.0,1225.0,1.0,0,0,0,0,Morning,0
5069,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20 16 May,23h 50m,1 stop,In-flight meal not included,10844.0,5.0,15.0,2.0,16.0,16.0,1430.0,1.0,1,0,0,0,Afternoon,0
5070,IndiGo,2019-05-18,Delhi,Cochin,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,,8216.0,5.0,18.0,5.0,11.0,22.0,635.0,1.0,0,0,0,0,Morning,1
5071,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,13626.0,6.0,12.0,2.0,6.0,19.0,800.0,1.0,0,0,0,0,Morning,0
5072,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,,14h 15m,2 stops,No info,7084.0,3.0,6.0,2.0,7.0,13.0,855.0,2.0,0,0,0,0,Morning,0
5073,Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,04:55,19:15,14h 20m,1 stop,No info,7575.0,5.0,9.0,3.0,4.0,19.0,860.0,1.0,0,0,0,0,Night,0
5074,Air India,2019-03-03,Banglore,New Delhi,BLR → HYD → DEL,08:15,08:50 07 Mar,24h 35m,1 stop,No info,6781.0,3.0,3.0,6.0,8.0,8.0,1475.0,1.0,0,0,0,0,Morning,1
5075,Jet Airways,2019-06-06,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,6478.0,6.0,6.0,3.0,7.0,10.0,180.0,0.0,1,0,0,0,Morning,0
5076,SpiceJet,2019-03-15,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No check-in baggage included,2385.0,3.0,15.0,4.0,5.0,7.0,80.0,0.0,0,1,0,0,Morning,0
5077,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,9385.0,5.0,18.0,5.0,13.0,21.0,480.0,1.0,0,0,0,0,Afternoon,1
5078,GoAir,2019-04-18,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,5048.0,4.0,18.0,3.0,7.0,10.0,175.0,0.0,0,0,0,0,Morning,0
5079,IndiGo,2019-06-12,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 13 Jun,5h 5m,1 stop,No info,5058.0,6.0,12.0,2.0,20.0,1.0,305.0,1.0,0,0,0,0,Evening,0
5080,Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 10 Apr,6h 30m,1 stop,No info,7363.0,4.0,9.0,1.0,19.0,1.0,390.0,1.0,0,0,0,0,Evening,0
5081,Air India,2019-03-09,Delhi,Cochin,DEL → HYD → BOM → COK,21:30,19:15 10 Mar,21h 45m,2 stops,No info,11762.0,3.0,9.0,5.0,21.0,19.0,1305.0,2.0,0,0,0,0,Night,1
5082,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,15:05,04:25 07 Mar,13h 20m,1 stop,No info,15764.0,3.0,6.0,2.0,15.0,4.0,800.0,1.0,0,0,0,0,Afternoon,0
5083,Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 13 Jun,18h 25m,1 stop,In-flight meal not included,10262.0,6.0,12.0,2.0,10.0,4.0,1105.0,1.0,1,0,0,0,Morning,0
5084,Jet Airways,2019-06-03,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 04 Jun,22h,2 stops,In-flight meal not included,10919.0,6.0,3.0,0.0,14.0,12.0,1320.0,2.0,1,0,0,0,Afternoon,0
5085,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 16 Jun,25h 30m,1 stop,In-flight meal not included,10262.0,6.0,15.0,5.0,17.0,19.0,1530.0,1.0,1,0,0,0,Evening,1
5086,Air India,2019-05-06,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,,17h 25m,2 stops,No info,11883.0,5.0,6.0,0.0,5.0,13.0,1045.0,2.0,0,0,0,0,Morning,0
5087,SpiceJet,2019-03-21,Kolkata,Banglore,CCU → BLR,22:20,00:40 22 Mar,2h 20m,non-stop,No info,3847.0,3.0,21.0,3.0,22.0,0.0,140.0,0.0,0,0,0,0,Night,0
5088,Jet Airways,2019-06-12,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678.0,6.0,12.0,2.0,19.0,21.0,90.0,0.0,0,0,0,0,Evening,0
5091,SpiceJet,2019-05-12,Banglore,Delhi,BLR → DEL,21:10,00:05 13 May,2h 55m,non-stop,No info,4423.0,5.0,12.0,6.0,21.0,0.0,175.0,0.0,0,0,0,0,Night,1
5092,Air India,2019-06-12,Delhi,Cochin,DEL → BLR → COK,17:40,08:15 13 Jun,14h 35m,1 stop,No info,8991.0,6.0,12.0,2.0,17.0,8.0,875.0,1.0,0,0,0,0,Evening,0
5093,SpiceJet,2019-05-15,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,5409.0,5.0,15.0,2.0,17.0,22.0,295.0,1.0,0,0,0,0,Evening,0
5096,IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → MAA → COK,06:40,21:20,14h 40m,2 stops,No info,6494.0,3.0,21.0,3.0,6.0,21.0,880.0,2.0,0,0,0,0,Morning,0
5097,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,17:00,01:30 25 Jun,8h 30m,1 stop,No info,7198.0,6.0,24.0,0.0,17.0,1.0,510.0,1.0,0,0,0,0,Evening,0
5098,SpiceJet,2019-03-09,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,7110.0,3.0,9.0,5.0,5.0,8.0,170.0,0.0,0,0,0,0,Morning,1
5099,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,18:55,09:30 13 Mar,14h 35m,1 stop,In-flight meal not included,11087.0,3.0,12.0,1.0,18.0,9.0,875.0,1.0,1,0,0,0,Evening,0
5100,IndiGo,2019-05-09,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804.0,5.0,9.0,3.0,20.0,22.0,155.0,0.0,0,0,0,0,Evening,0
5101,IndiGo,2019-06-15,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823.0,6.0,15.0,5.0,7.0,10.0,175.0,0.0,0,0,0,0,Morning,1
5102,Jet Airways,2019-05-12,Kolkata,Banglore,,09:35,19:10,9h 35m,1 stop,No info,14151.0,5.0,12.0,6.0,9.0,19.0,575.0,1.0,0,0,0,0,Morning,1
5103,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,06:00,19:00,13h,1 stop,In-flight meal not included,10791.0,6.0,27.0,3.0,6.0,19.0,780.0,1.0,1,0,0,0,Morning,0
5104,Vistara,2019-04-01,Kolkata,Banglore,CCU → DEL → BLR,07:10,09:05 02 Apr,25h 55m,1 stop,No info,7980.0,4.0,1.0,0.0,7.0,9.0,1555.0,1.0,0,0,0,0,Morning,0
5105,Air India,2019-04-27,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 28 Apr,25h 35m,1 stop,No info,6587.0,4.0,27.0,5.0,5.0,6.0,1535.0,1.0,0,0,0,0,Morning,1
5106,Vistara,,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,5.0,12.0,3.0,7.0,9.0,135.0,0.0,0,0,0,0,Morning,0
5107,Air India,2019-05-15,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15 16 May,24h 30m,2 stops,No info,13307.0,5.0,15.0,2.0,18.0,19.0,1470.0,2.0,0,0,0,0,Evening,0
5108,Air India,2019-03-24,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,2050.0,3.0,24.0,6.0,15.0,16.0,85.0,0.0,0,0,0,0,Afternoon,1
5109,Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,,10197.0,5.0,9.0,3.0,9.0,19.0,600.0,1.0,0,0,0,0,Morning,0
5110,Vistara,2019-06-24,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,4668.0,6.0,24.0,0.0,21.0,23.0,170.0,0.0,0,0,0,0,Night,0
5111,IndiGo,2019-05-24,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4990.0,5.0,24.0,4.0,13.0,15.0,170.0,0.0,0,0,0,0,Afternoon,0
5112,IndiGo,2019-05-24,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0,5.0,24.0,4.0,6.0,7.0,90.0,0.0,0,0,0,0,Morning,0
5113,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,7933.0,6.0,15.0,5.0,9.0,21.0,720.0,1.0,0,0,0,0,Morning,1
5116,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,1h 30m,non-stop,No info,8040.0,6.0,18.0,1.0,8.0,10.0,90.0,0.0,0,0,0,0,Morning,0
5117,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,13:00,01:35 22 Mar,12h 35m,1 stop,No info,8098.0,3.0,21.0,3.0,13.0,1.0,755.0,1.0,0,0,0,0,Afternoon,0
5118,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,10262.0,6.0,3.0,0.0,2.0,19.0,1005.0,1.0,1,0,0,0,Night,0
5121,IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4990.0,4.0,12.0,4.0,20.0,22.0,170.0,0.0,0,0,0,0,Evening,0
5122,Air India,2019-03-18,Banglore,New Delhi,BLR → BOM → NAG → DEL,17:25,10:35 16 Mar,17h 10m,2 stops,No info,12568.0,3.0,18.0,0.0,17.0,10.0,1030.0,2.0,0,0,0,0,Evening,0
5124,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,No info,18371.0,6.0,15.0,5.0,2.0,12.0,620.0,1.0,0,0,0,0,Night,1
5125,SpiceJet,2019-03-01,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7h 55m,1 stop,No info,23267.0,3.0,1.0,4.0,10.0,18.0,475.0,1.0,0,0,0,0,Morning,0
5126,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,23:35,14h,1 stop,No info,13067.0,5.0,1.0,2.0,9.0,23.0,840.0,1.0,0,0,0,0,Morning,0
5127,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,22:05,00:25 22 Jun,2h 20m,non-stop,No info,5277.0,6.0,21.0,4.0,22.0,0.0,140.0,0.0,0,0,0,0,Night,0
